Mercedes-Benz E-класс AMG,"2013г.,5.5л.,автоматседан,бензинрульслева,110000км",https://im.mashina.kg/tachka/images//d/3/3/d33b014aba59993c4cac636dd9270587_240x180.jpg,4391500сом,$50000
Kia Mohave (Borrego),"2022г.,3л.,автоматвнедорожник5дв.,дизельрульслева,33000км",https://im.mashina.kg/tachka/images//2/1/9/219c3aa012b2cf34189af0a6ac5da627_240x180.jpg,5094140сом,$58000
BMW 5 серии,"2017г.,2л.,автоматседан,бензинрульслева,100000км",https://im.mashina.kg/tachka/images//5/7/9/579b49f0482c7086457e4d0dbc45eff8_240x180.jpg,3249710сом,$37000
Mercedes-Benz GLC AMG,"2018г.,4л.,автоматвнедорожник5дв.,бензинрульслева,20000км",https://im.mashina.kg/tachka/images//4/c/1/4c15ec63960776b51e7a6e319cdfae25_240x180.jpg,6587250сом,$75000
Kia Carnival,"2022г.,3.5л.,автоматминивэн,бензинрульслева,8000км",https://im.mashina.kg/tachka/images//a/0/d/a0d4f2c0457b68895d48679242091c48_240x180.jpg,4567160сом,$52000
Toyota Highlander,"2008г.,3.3л.,вариаторвнедорожник5дв.,гибридрульслева,189000км",https://im.mashina.kg/tachka/images//e/e/c/eec62766767f2bb5051057828e3ea576_240x180.jpg,1739034сом,$19800
Jeep Wrangler,"2020г.,2л.,автоматвнедорожник5дв.,бензинрульслева,40000км",https://im.mashina.kg/tachka/images//c/b/e/cbe6a8fc50fd792dd7d31aaa86a8136b_240x180.jpg,4654990сом,$53000
Hyundai Sonata,"2010г.,2л.,автоматседан,газрульслева,204000км",https://im.mashina.kg/tachka/images//4/0/9/409bdf7ccf4f6b8d0d49214289a3ddf0_240x180.jpg,667508сом,$7600
Toyota Camry,"2023г.,2.5л.,автоматседан,бензинрульслева,12км",https://im.mashina.kg/tachka/images//1/3/2/132481b2e8505e28ab5cf51b2655cb57_240x180.jpg,3249710сом,$37000
Hyundai Santa Fe,"2021г.,1.6л.,автоматвнедорожник5дв.,гибридрульслева,25000км",https://im.mashina.kg/tachka/images//2/0/1/2013179d1a63b6419cff1ac724484b10_240x180.jpg,3864520сом,$44000
Mercedes-Benz S-класс,"1997г.,3.2л.,автоматседан,бензинрульслева,325000км",https://im.mashina.kg/tachka/images//5/c/c/5cc5a7fd09c10936262b5d513e97423b_240x180.jpg,1537025сом,$17500
Honda CR-V,"2017г.,1.5л.,вариаторвнедорожник5дв.,бензинрульслева,60000км",https://im.mashina.kg/tachka/images//7/8/1/781e2c563d7d55889365ad3332b3933f_240x180.jpg,2081571сом,$23700
Hyundai Elantra,"2001г.,2л.,автоматседан,бензинрульслева,123000км",https://im.mashina.kg/tachka/images//0/3/1/031e3cb7fa4626a1b041525e0b33dce9_240x180.jpg,270000сом,$3074
Daewoo Winstorm,"2009г.,2л.,автоматвнедорожник5дв.,дизельрульслева,245200км",https://im.mashina.kg/tachka/images//5/7/e/57e5f28ffb4a597dff3b6bf1877d0f43_240x180.jpg,922215сом,$10500
Land Rover Range Rover Sport,"2017г.,3л.,автоматвнедорожник5дв.,дизельрульслева,104000км",https://im.mashina.kg/tachka/images//f/1/7/f179858cb37aee873b79389720e808ed_240x180.jpg,3688860сом,$42000
Honda Civic,"2008г.,1.8л.,роботхэтчбек5дв.,бензинрульслева,173000км",https://im.mashina.kg/tachka/images//1/f/2/1f213613f69cc3ae6bfc3afdfeb1728d_240x180.jpg,650000сом,$7401
Toyota Avalon,"2016г.,2.5л.,вариаторседан,гибридрульслева,175000км",https://im.mashina.kg/tachka/images//2/c/e/2cee4592959cb0edaa1fdab0db955f66_240x180.jpg,1993741сом,$22700
Mercedes-Benz C-Класс,"2016г.,2.1л.,автоматседан,дизельрульслева,102000км",https://im.mashina.kg/tachka/images//4/8/3/483fa23d2d4dbf817ba42b49056fcf4d_240x180.jpg,2590985сом,$29500
BMW 5 серии,"2008г.,3л.,автоматседан,бензинрульслева,150000км",https://im.mashina.kg/tachka/images//6/a/3/6a3caa28ec920a50d3ff44378d3d64b6_240x180.jpg,1053960сом,$12000
BMW X6,"2008г.,3л.,автоматвнедорожник5дв.,бензинрульслева,241312км",https://im.mashina.kg/tachka/images//a/5/1/a51a122c742285fe668f7868dff10994_240x180.jpg,1712685сом,$19500
Hyundai Santa Fe,"2017г.,2л.,автоматвнедорожник5дв.,дизельрульслева,145000км",https://im.mashina.kg/tachka/images//b/d/5/bd57ac75d040d00c697e769179598b03_240x180.jpg,1651204сом,$18800
Kia K7,"2018г.,2.4л.,автоматседан,гибридрульслева,183000км",https://im.mashina.kg/tachka/images//d/0/1/d010eef37893ac68d2aea7b454637060_240x180.jpg,1976175сом,$22500
Toyota Prius,"2015г.,1.8л.,автоматхэтчбек5дв.,гибридрульслева,91000км",https://im.mashina.kg/tachka/images//5/a/6/5a6ddfe787bb2c235d4a20a4e5d15f98_240x180.jpg,1308667сом,$14900
Land Rover Range Rover,"2005г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,295000км",https://im.mashina.kg/tachka/images//0/7/a/07abd19d83581669d3e75bd05b0c4120_240x180.jpg,939781сом,$10700
Land Rover Range Rover Sport,"2014г.,3л.,автоматвнедорожник5дв.,дизельрульслева,207204км",https://im.mashina.kg/tachka/images//e/e/4/ee43202c7f52cbb53cf486c9006a5685_240x180.jpg,3864520сом,$44000
Mercedes-Benz E-класс,"1996г.,4.2л.,автоматседан,бензинрульслева,3000км",https://im.mashina.kg/tachka/images//9/4/6/94661af541b903fdc147a5f94537e96d_240x180.jpg,500631сом,$5700
Honda Civic,"2005г.,1.7л.,автоматседан,бензинрульслева,150000км",https://im.mashina.kg/tachka/images//3/f/c/3fc91305f64ec69f7e6213e8e8050e4a_240x180.jpg,658725сом,$7500
Hyundai Palisade,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,22000км",https://im.mashina.kg/tachka/images//6/c/d/6cdc54309bfad225d62f600613787c65_240x180.jpg,4654990сом,$53000
Kia Sorento,"2017г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,110000км",https://im.mashina.kg/tachka/images//7/6/a/76ac53a9308dbe37c06c9bae343045ae_240x180.jpg,1932260сом,$22000
Hyundai Grandeur,"2018г.,2.4л.,автоматседан,бензинрульслева,80000км",https://im.mashina.kg/tachka/images//f/f/5/ff524f5efd3a7e56cd10657861d8430f_240x180.jpg,2283580сом,$26000
Hyundai Palisade,"2022г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,40000км",https://im.mashina.kg/tachka/images//d/9/e/d9e22dff2d1cb04f9742f59ee7606238_240x180.jpg,4830650сом,$55000
Hyundai Palisade,"2019г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,68000км",https://im.mashina.kg/tachka/images//d/9/a/d9a59a2e0941a746358569800642aca1_240x180.jpg,4382717сом,$49900
BMW 5 серии,"2017г.,3л.,автоматседан,дизельрульслева,200000км",https://im.mashina.kg/tachka/images//1/c/0/1c069404587b21aaeb45a963ac602d7f_240x180.jpg,4119227сом,$46900
Kia K7,"2017г.,3л.,автоматседан,газрульслева,300000км",https://im.mashina.kg/tachka/images//d/d/e/dded5877c5b23f022465dde678c473ed_240x180.jpg,1396497сом,$15900
Hyundai Palisade,"2020г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,50000км",https://im.mashina.kg/tachka/images//d/1/5/d1593456f60bec585c39a47597ade52f_240x180.jpg,3644945сом,$41500
Kia K5 II Седан,"2017г.,2л.,автоматседан,газрульслева,230000км",https://im.mashina.kg/tachka/images//3/9/0/3909e9d4521287405f9d1f7ab63503c7_240x180.jpg,1308667сом,$14900
Honda Stream,"2001г.,2л.,автоматкомпактвэн,бензинрульслева,180000км",https://im.mashina.kg/tachka/images//d/9/3/d93d682bd676099862c9bbfc756bacfe_240x180.jpg,614810сом,$7000
Toyota Camry (Japan),"2018г.,2.5л.,автоматседан,бензинрульслева,56000км",https://im.mashina.kg/tachka/images//2/5/f/25f628e1c21dfe4b2f1385a2d7ecb869_240x180.jpg,2898390сом,$33000
Toyota Corolla,"2005г.,1.6л.,механикахэтчбек5дв.,бензинрульслева,240000км",https://im.mashina.kg/tachka/images//2/8/3/2830c5bf97b556d2d0e4929232d174a9_240x180.jpg,658725сом,$7500
Hyundai Palisade,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,12800км",https://im.mashina.kg/tachka/images//5/0/b/50b1c4e231c46aac4e1558c46c7bb29f_240x180.jpg,4171925сом,$47500
Hyundai Palisade,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,12800км",https://im.mashina.kg/tachka/images//5/0/b/50b1c4e231c46aac4e1558c46c7bb29f_240x180.jpg,4171925сом,$47500
Mercedes-Benz E-класс,"1998г.,3.2л.,автоматседан,бензинрульслева,340000км",https://im.mashina.kg/tachka/images//6/8/a/68acaad33a5d25f1b169273e9ab6473c_240x180.jpg,685074сом,$7800
Kia Carnival,"2017г.,2.2л.,автоматминивэн,дизельрульслева,192000км",https://im.mashina.kg/tachka/images//8/e/1/8e1c7bbd57bba7b96b039e18fdd698c6_240x180.jpg,1703902сом,$19400
BMW 7 серии,"2000г.,2.8л.,автоматседан,бензинрульслева,170000км",https://im.mashina.kg/tachka/images//9/0/f/90f266872f37c1b9f72a19d42d1d4004_240x180.jpg,790470сом,$9000
Toyota Allex,"2004г.,1.5л.,автоматхэтчбек5дв.,бензинрульсправа,205000км",https://im.mashina.kg/tachka/images//1/d/2/1d2e1bad9325223abd61a70ed232ea63_240x180.jpg,737772сом,$8400
Chevrolet Lacetti,"2008г.,1.4л.,механикаседан,бензинрульслева,263709км",https://im.mashina.kg/tachka/images//3/1/e/31ea2e186028d2ab4131b4da757e1039_240x180.jpg,470000сом,$5351
Toyota Land Cruiser,"2008г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,220000км",https://im.mashina.kg/tachka/images//0/9/7/097f1692d0f5256a72658fc2cca16162_240x180.jpg,2740296сом,$31200
Toyota Land Cruiser Prado,"2014г.,3л.,автоматвнедорожник5дв.,дизельрульслева,110000км",https://im.mashina.kg/tachka/images//a/a/5/aa5580cf3d643cc1cd7fb61c49a0f6a6_240x180.jpg,3074050сом,$35000
Toyota Camry,"2018г.,2.5л.,вариаторседан,гибридрульслева,36000км",https://im.mashina.kg/tachka/images//5/a/b/5abc6676300daddb0b9b18f270b54814_240x180.jpg,2064005сом,$23500
Hyundai Santa Fe,"2017г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,94000км",https://im.mashina.kg/tachka/images//7/d/2/7d2500477e548e130ad569a329d3ff1f_240x180.jpg,1800515сом,$20500
Honda Jazz,"2002г.,1.3л.,вариаторхэтчбек5дв.,бензинрульслева,450000км",https://im.mashina.kg/tachka/images//6/6/c/66c1ea7a73a80556fcf933452d3229a7_240x180.jpg,553329сом,$6300
Honda Fit,"2002г.,1.3л.,вариаторхэтчбек5дв.,бензинрульсправа,395000км",https://im.mashina.kg/tachka/images//9/6/0/960de893b08385b1c5ddae14f9eb3399_240x180.jpg,480000сом,$5465
ВАЗ (Lada) 2107,"2006г.,1.6л.,механикаседан,бензинрульслева,180000км",https://im.mashina.kg/tachka/images//7/0/5/705c32ddafa2fbb510fe755210dbc4d8_240x180.jpg,145000сом,$1651
ВАЗ (Lada) 2121 (4x4) Нива,"2004г.,1.7л.,механикавнедорожник3дв.,бензинрульслева,106000км",https://im.mashina.kg/tachka/images//d/6/b/d6b69ddad97fee03f613f3aa608a0076_240x180.jpg,350000сом,$3985
Changan UNI-K,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,10км",https://im.mashina.kg/tachka/images//1/5/5/155759571a340b8c612a1611bf30f709_240x180.jpg,2986220сом,$34000
Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,86000км",https://im.mashina.kg/tachka/images//f/e/d/fedf796474a4bc594be71d03098b1c32_240x180.jpg,1932260сом,$22000
Toyota Camry,"2013г.,2л.,автоматседан,бензинрульслева,145000км",https://im.mashina.kg/tachka/images//0/2/b/02bd9d964a0b2b128c6150c1802ebb3a_240x180.jpg,1493110сом,$17000
Honda Fit,"2004г.,1.3л.,вариаторхэтчбек5дв.,бензинрульсправа,214000км",https://im.mashina.kg/tachka/images//4/9/b/49bc278feba2a83d74e8df60dba04e06_240x180.jpg,600000сом,$6831
Hyundai Sonata,"2018г.,2л.,автоматседан,газрульслева,67000км",https://im.mashina.kg/tachka/images//6/f/d/6fd94f3f801e7a50f778a0f79199f9e7_240x180.jpg,1624855сом,$18500
Kia K5 I Седан,"2013г.,2л.,автоматседан,газрульслева,132848км",https://im.mashina.kg/tachka/images//8/6/1/861a7c23ea324169f6658ede2e5eef1a_240x180.jpg,939781сом,$10700
Hyundai Sonata,"2018г.,2л.,автоматседан,газрульслева,67000км",https://im.mashina.kg/tachka/images//6/f/d/6fd94f3f801e7a50f778a0f79199f9e7_240x180.jpg,1624855сом,$18500
Kia K5 I Седан,"2013г.,2л.,автоматседан,газрульслева,132848км",https://im.mashina.kg/tachka/images//8/6/1/861a7c23ea324169f6658ede2e5eef1a_240x180.jpg,939781сом,$10700
Kia Rio,"2019г.,1.6л.,автоматседан,бензинрульслева,78000км",https://im.mashina.kg/tachka/images//8/a/9/8a93532ad4b736ec143654cabb8d60e0_240x180.jpg,1387714сом,$15800
Chevrolet Volt,"2013г.,1.4л.,вариаторхэтчбек5дв.,гибридрульслева,250000км",https://im.mashina.kg/tachka/images//f/b/b/fbbe409d1b70cb545cbd4c63de59ce91_240x180.jpg,1124224сом,$12800
BYD Tang,"2023г.,автоматвнедорожник5дв.,электрорульслева",https://im.mashina.kg/tachka/images//2/e/b/2eb07775a3a96456980081e23be21183_240x180.jpg,4654990сом,$53000
